"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","gender","S","DD","D_pred"
"120",0,0,0,0,0,0,0,2,"M",0,"1",0
"121",2,0,0,0,0,0,0,3,"M",2,"1",4.02645622081655
"122",0,0,0,0,0,0,0,0,"M",0,"0",0
"123",0,0,0,0,0,0,0,0,"W",0,"0",0
"124",0,0,0,0,0,0,0,0,"M",0,"0",0
"125",0,0,0,0,0,0,0,0,"M",0,"0",0
"126",0,0,0,0,0,0,0,0,"M",0,"0",0
"127",0,0,0,0,0,0,0,0,"M",0,"0",0
"128",0,0,0,0,0,0,0,2,"W",0,"1",0
"129",1,0,0,0,0,0,0,2,"M",1,"1",1.5542293661557
"130",0,0,0,0,0,0,0,0,"M",0,"0",0
"131",0,0,0,0,0,0,0,0,"M",0,"0",0
"132",0,0,0,0,0,0,0,0,"M",0,"0",0
"133",0,0,0,0,0,0,0,0,"W",0,"0",0
"134",0,0,0,0,0,0,0,2,"M",0,"1",0
"135",3,2,0,1.5,2,3,1.5,2,"M",13,"1",24.7813137684781
"136",2,1,0,1,1.5,0,0.5,2.5,"M",6,"1",10.9005352691362
"137",1.5,0.5,0.5,0,0,0,0.5,1,"M",3,"1",6.20868637547506
"138",2,1.5,0,0,0,0,0.5,1,"M",4,"1",6.58420248462427
"139",1,0.5,0,0,0,0,0.5,1,"M",2,"1",3.52473163502768
"140",0.5,0,0,0,0,0,0,0.5,"M",0.5,"0",1.22529226280647
"141",0,0,0,0,0,0,0,0,"W",0,"0",0
"142",1.5,0,0,0,0,0,0,1.5,"M",1.5,"1",3.01984216561242
"143",0,0,0,0,0,0,0,0,"W",0,"0",0
"144",1.5,1,0,0,0.5,0,0.5,2,"M",3.5,"1",6.76712285095058
"145",2,2,0,0,1,0,0.5,1.5,"M",5.5,"1",9.50681713234691
"146",1.5,1.5,0,0,0.5,0,0,1.5,"M",3.5,"1",6.25073182160505
"147",0,0.5,0,0,0,0,0,0.5,"W",0.5,"0",0.756891543146061
"148",1,0.5,0,0,0,0,0,0.5,"M",1.5,"0",2.62837297391877
"149",2.5,1.5,0,0,0.5,0,0.5,1.5,"M",5,"1",10.7166184784733
"150",0,1,0,0,1.5,0,0,1,"M",2.5,"1",4.88968502903391
"151",0,0.5,0,0,1,0.5,0,0.5,"W",2,"0",3.49576485307059
"152",0,0,0,0,0,0,0,0,"W",0,"0",0
"153",0,0,0,0,0,0,0,0,"M",0,"0",0
"154",1.5,1,0.5,0,0.5,0,0.5,1,"M",4,"1",7.7319187234908
"155",3,1.5,0,0,0,0,0,1.5,"W",4.5,"1",7.88511892175631
"156",1.5,0,0,0,0,0,0,0,"W",1.5,"0",3.01984216561242
"157",2.5,0,0,0,0,1.5,0,0,"W",4,"0",7.56145020380868
"158",3,0,1.5,0,0,0,3,3,"M",7.5,"1",14.6635573453374
"159",3,1.5,1.5,0,0,0,0,1.5,"W",6,"1",9.67745760324217
"160",3,3,3,1.5,1.5,3,3,3,"M",18,"1",33.246132994732
"161",3,3,3,0,3,1.5,3,3,"M",16.5,"1",30.3649058753579
"162",3,0,0,0,0,0,0,1.5,"W",3,"1",5.6095285902645
"163",3,0,0,1.5,0,0,1.5,1.5,"W",6,"1",11.5892783274256
"164",3,0,1.5,0,0,0,3,1.5,"M",7.5,"1",11.4796276888353
"165",1.5,0,0,0,0,0,0,1.5,"M",1.5,"1",3.21824994696718
"166",0,0,0,0,0,0,0,0,"W",0,"0",0
"167",1.5,0,0,0,0,0,0,1.5,"M",1.5,"1",2.27559033149181
"168",3,0,1.5,0,0,0,0,1.5,"M",4.5,"1",9.6830976260724
"169",3,0,1.5,0,0,0,1.5,1.5,"M",6,"1",11.1591225864652
"170",0,0,0,0,0,0,0,1.5,"W",0,"1",0
"171",0,0,0,0,0,0,0,1.5,"W",0,"1",0
"172",0,0,0,0,0,0,0,1.5,"W",0,"1",0
"173",2,1,1.5,1.5,0,0,0,0,"M",6,"0",9.662150165364
"174",2,2,0.5,1.5,2,0,0,0,"M",8,"0",15.0351773874865
"175",1,1.5,0.5,1.5,1.5,0,0,0.5,"M",6,"0",10.578728464753
"176",1.5,1.5,0.5,0.5,1.5,0,0,1,"M",5.5,"1",10.83559545257
"177",1,0.5,0.5,1,0,0,1.5,0.5,"W",4.5,"0",8.7678912294837
"178",2.5,2,1,0.5,0,0,0,1.5,"M",6,"1",10.2150693455492
"179",2,2.5,0.5,1.5,0.5,0,0,2,"M",7,"1",13.5971517806328
"180",2.5,3,2,0.5,1.5,0,2,3,"M",11.5,"1",21.0647806497308
"181",1.5,2,1.5,1,0.5,0,2.5,0,"M",9,"0",17.4685156537066
"182",1,0.5,0.5,0,1.5,0,0.5,0,"M",4,"0",7.26679513853281
"183",0,2,1.5,1,2,1,1,0.5,"W",8.5,"0",16.2347800030383
"184",2.5,0,0,0,0,0,0,1,"M",2.5,"1",5.03307027602069
"185",3,1,0.5,1,1,0,2,2,"M",8.5,"1",14.4773553200232
"186",2.5,0,0,0,0,0,0,0.5,"M",2.5,"0",5.36374991161197
"187",1,0,0,0,0,0,0,0.5,"M",1,"0",1.51378308629212
"188",0.5,0,0,0,0,0,0,0,"M",0.5,"0",0.75853011049727
"189",3,3,2.5,0.5,0.5,0,3,3,"M",12.5,"1",23.5118121245373
"190",2,0.5,0,0,0,0,0,1.5,"M",2.5,"1",4.49821583734027
"191",1,0,0,0,0,0,0,0.5,"M",1,"0",2.01322811040828
"192",0.5,0,0,0,0,0,0,0.5,"W",0.5,"0",0.777114683077852
"193",3,1,1,0.5,1.5,0,1,1.5,"M",8,"1",15.5056083433297
"194",1.5,1,1,0.5,1.5,0,1,1.5,"M",6.5,"1",12.1221114420928
"195",2,0.5,0,0,0,0,0,1,"M",2.5,"1",4.10687042431147
"196",2.5,1.5,0.5,0,0,0,0,1.5,"M",4.5,"1",9.1742506265484
"197",1.5,0,0,0,0,0,0,0.5,"M",1.5,"0",2.80476429513225
"198",2,0.5,0.5,0.5,0.5,0,0.5,1,"M",4.5,"1",8.79342612388008
"199",0.5,0,0,0,0,0,0,0.5,"M",0.5,"0",0.777114683077852
"200",0.5,0,0,0,0,0,0,0.5,"M",0.5,"0",1.07274998232239
"201",2,2,1,2,2,0,2,2,"M",11,"1",20.2321571908217
"202",3,0,0,0,0,0,0,0.5,"M",3,"0",4.55118066298362
"203",3,0,0,0,0,0,0,0.5,"M",3,"0",7.35175357683884
"204",3,2,0,0,0,1.5,2,2,"M",8.5,"1",14.0227823940032
